Fornitore;Data inserimento;Lotto di Taglio;Commessa BV;WO;Articolo;Mov. Mag;N. Riga;Materiale;U.M.;Qtà Avanzata;Qtà Consumata;Cls Impiego BV;Conceria;Conc Des;Partita;Causale di Resa Taglio;Inviato a ST400
T571383;2023-07-13 14:48:03;L57138320230713144803000;EPEV/2023/07399/A;WPEP/2023/3484;762711/V01D1/88;2PE/2023/S/20277;7;0004A1V2596 8836;DQ;50;234,97;114;462810;RUSSO DI CASANDRINO S.P.A.;1416;003/Taglio in mix (-);SI
T571383;2023-07-13 14:48:03;L57138320230713144803000;EPEV/2023/07399/A;WPEP/2023/3484;762711/V01D1/88;2PE/2023/S/20277;8;0004A1V2596 8836;DQ;50;1774,03;113;462810;RUSSO DI CASANDRINO S.P.A.;1416;003/Taglio in mix (-);SI
T571383;2023-07-13 14:48:03;L57138320230713144803000;EPEV/2023/07416/A;WPEP/2023/3368;762711/V01D1/88;2PE/2023/S/20277;5;0004A1V2596 8836;DQ;50;234,97;114;462810;RUSSO DI CASANDRINO S.P.A.;1416;003/Taglio in mix (-);SI
T571383;2023-07-13 14:48:03;L57138320230713144803000;EPEV/2023/07416/A;WPEP/2023/3368;762711/V01D1/88;2PE/2023/S/20277;6;0004A1V2596 8836;DQ;50;1774,03;113;462810;RUSSO DI CASANDRINO S.P.A.;1416;003/Taglio in mix (-);SI
T571383;2023-07-13 15:40:10;L57138320230713154010000;EPEV/2023/07221/A;WPEP/2023/3362;690225/VCPP0/15;2PE/2023/S/20294;1;0004A1V2596 1552;DQ;95;673,26;113;507243;DEVICONCIA DI DE VITA GIUSEPPE;2947/23;004/Dimensione/conformità/qualità della pelle (-);SI
T571383;2023-07-13 15:40:10;L57138320230713154010000;EPEV/2023/07221/A;WPEP/2023/3362;690225/VCPP0/15;2PE/2023/S/20294;2;0004A1V2596 1552;DQ;95;17988,74;114;507243;DEVICONCIA DI DE VITA GIUSEPPE;2947/23;004/Dimensione/conformità/qualità della pelle (-);SI
T571383;2023-07-13 15:43:35;L57138320230713154335000;EPEV/2023/07221/A;WPEP/2023/3362;690225/VCPP0/15;2PE/2023/S/20295;1;0004A1V2596 1552;DQ;52;348,39;113;462810;RUSSO DI CASANDRINO S.P.A.;2518;004/Dimensione/conformità/qualità della pelle (-);SI
T571383;2023-07-13 15:43:35;L57138320230713154335000;EPEV/2023/07221/A;WPEP/2023/3362;690225/VCPP0/15;2PE/2023/S/20295;2;0004A1V2596 1552;DQ;52;9308,61;114;462810;RUSSO DI CASANDRINO S.P.A.;2518;004/Dimensione/conformità/qualità della pelle (-);SI
T571383;2023-07-13 16:04:51;L57138320230713160451000;EPEV/2023/07411/A;WPEP/2023/3489;729029/VCQC2/84;2PE/2023/S/20325;1;0004A1V2523 1000;DQ;54;3476,09;197;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
T571383;2023-07-13 16:04:51;L57138320230713160451000;EPEV/2023/07425/A;WPEP/2023/3372;729029/VCQC2/84;2PE/2023/S/20325;2;0004A1V2523 1000;DQ;54;3476,09;197;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
T571383;2023-07-13 16:04:51;L57138320230713160451000;EPEV/2023/07436/A;WPEP/2023/3379;729029/VCQC2/84;2PE/2023/S/20325;3;0004A1V2523 1000;DQ;54;3476,09;197;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
